"I_D","FLAG_TSUNAMI","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE","LONGITUDE","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION"
"7525","","2007","6","2","21","34"," 57.7","5"," 6.1"," 6.1"," 6.3"," 5.7","","","","","CHINA","","CHINA:  YUNNAN PROVINCE:  NING'ER","  23.028","  101.052","30","       3","1","","","       329","3","     310.000","4","","","","","       3","1","","","329","3","     310.000","4","","","",""
"7521","Tsu","2007","7","16","1","13"," 22.0","10"," 6.6"," 6.6","","","","","","","JAPAN","","JAPAN:  HONSHU:  W COAST","  37.570","  138.478","30","       9","1","","","      1088","4","   12500.000","4","","","875","3","       9","1","","","1088","4","   12500.000","4","","","875","3"
"7597","","2007","7","21","22","44"," 13.5","10"," 5.2"," 5.2"," 5.0"," 5.6","","","","","TAJIKISTAN","","TAJIKISTAN:  RASHT, ASHT","  38.936","   70.485","40","      12","1","","","","","","","","","","","      12","1","","","","","","","","","",""
"7531","Tsu","2007","8","2","2","37"," 42.3","5"," 6.2"," 6.2"," 6.2"," 5.3","","","","","RUSSIA","","RUSSIA:  TATAR STRAIT","  47.116","  141.798","50","       2","1","","","        12","1","","1","11","1","20","1","       2","1","","","12","1","","1","11","2","20","1"
"7601","","2007","8","6","8","48"," 40.0","2"," 4.2","",""," 4.2","3.9","","","","USA","UT","UTAH:  HUNTINGTON","  39.465"," -111.237","150","       9","1","","","","1","","","","","","","       9","1","","","","1","","","","","",""
"7537","Tsu","2007","8","15","23","40"," 57.8","39"," 8.0"," 8.0"," 7.9"," 6.7","","","","8","PERU","","PERU:  ICA, PISCO, LIMA"," -13.386","  -76.603","160","     514","3","","","      1090","4","","4","39700","4","","","     514","3","","","1090","4","","4","39700","4","",""
"7614","","2007","8","17","0","38"," 56.0","0"," 1.6","","","","1.6","","","","USA","UT","UTAH","  39.464"," -111.207","150","       3","1","","","         6","1","","","","","","","       3","1","","","6","1","","","","","",""
"7574","Tsu","2007","9","12","11","10"," 26.8","34"," 8.4"," 8.4"," 8.5"," 6.9","","","","","INDONESIA","","INDONESIA:  SUMATRA","  -4.438","  101.367","60","      25","1","","","       161","3","","3","56425","4","56425","4","      25","1","","","161","3","","3","56425","4","",""
"7697","","2007","10","26","6","50","  6.6","10"," 4.8",""," 4.8"," 5.3","","","","","PAKISTAN","","PAKISTAN:  GHANCHE","  35.304","   76.753","60","       1","1","","","        12","1","","","","","","","       1","1","","","12","1","","","","","",""
"7699","","2007","11","6","9","38","  5.7","10"," 5.1"," 5.1",""," 5.0","","","","","INDIA","","INDIA:  GUJARAT","  21.181","   70.724","60","       1","1","","","         5","1","","1","","2","","2","       1","1","","","5","1","","1","","2","",""
"7700","","2007","11","7","4","12"," 38.6","72"," 5.1","",""," 5.1","","","","","PHILIPPINES","","PHILIPPINES:  BOHOL ISLAND:  MABINI","   9.721","  124.647","170","       1","1","","","","","","","","","","","       1","1","","","","","","","","","",""
"7634","Tsu","2007","11","14","15","40"," 50.5","40"," 7.7"," 7.7"," 7.4"," 6.7","","","","8","CHILE","","CHILE:  TOCOPILLA, MARIA ELENA"," -22.247","  -69.890","160","       2","1","","","        65","2","","3","","4","","","       2","1","","","65","2","","3","","4","",""
"7674","","2007","11","25","16","2"," 17.9","35"," 6.5"," 6.5",""," 6.2","6.3","","","","INDONESIA","","INDONESIA:  SUMBAWA ISLAND","  -8.277","  118.339","170","       3","1","","","","3","","2","","3","","","       3","1","","","","3","","2","","3","",""
"7675","Tsu","2007","11","29","19","0"," 20.4","156"," 7.4"," 7.4",""," 6.9","","","","","MARTINIQUE","","MARTINIQUE","  14.944","  -61.274","90","       1","1","","","       102","3","","1","","","","","       1","1","","","102","3","","1","","","",""
"7708","","2007","12","9","2","3"," 29.4","10"," 4.6","",""," 4.6","","","","","BRAZIL","","BRAZIL:  MINAS GERAIS"," -15.048","  -44.231","160","       1","1","","","         6","1","","2","76","2","","","       1","1","","","6","1","","2","76","2","",""
"7724","","2007","12","20","7","55"," 15.8","20"," 6.6"," 6.6"," 6.5"," 6.3","6.9","","","7","NEW ZEALAND","","NEW ZEALAND:  OFF COAST NORTH ISLAND"," -39.011","  178.291","170","       1","1","","","","","","1","3","1","","","       1","1","","","","","","1","3","1","",""
"7748","","2008","1","9","22","24","  3.8","10"," 4.6","",""," 4.6","5.3","","","","ALGERIA","","ALGERIA:  ORAN","  35.616","    -.570","15","       1","1","","","","","","2","","","","","       1","1","","","","","","2","","","","2"
"7750","","2008","1","22","17","14"," 57.9","20"," 6.1"," 6.1",""," 5.9","","","","","INDONESIA","","INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI","   1.011","   97.442","170","       1","1","","","         5","1","","1","","","","","       1","1","","","5","1","","1","","","","2"
"7764","","2008","2","3","7","34"," 12.1","10"," 5.9"," 5.9"," 5.8"," 6.1","","","","","CONGO","","CONGO:  BUKAVU","  -2.296","   28.900","10","      38","1","","","       717","3","","3","99","2","815","3","      38","1","","","717","3","","3","99","2","815","3"
"7765","","2008","2","6","6","9"," 40.4","10"," 4.3","",""," 4.3","","","","","INDIA","","INDIA:  WEST BENGAL","  23.433","   87.111","60","       1","1","","","        50","1","","2","","","","","       1","1","","","50","1","","2","","","","3"
"7768","","2008","2","14","2","7"," 46.7","10"," 4.9",""," 4.9"," 5.4","","","","","RWANDA","","RWANDA:  GISENYI","  -2.404","   28.918","10","       1","1","","","       109","3","","1","","","5","1","       1","1","","","109","3","","1","","","5","1"
"7870","","2008","2","20","8","8"," 30.5","26"," 7.4"," 7.4"," 7.5"," 6.5","","","","","INDONESIA","","INDONESIA:  SUMATERA:  ACEH PROVINCE","   2.768","   95.964","170","       3","1","","","        25","1","","","","","","","       3","1","","","25","1","","","","","",""
"7843","Tsu","2008","5","12","6","28","  1.5","19"," 7.9"," 7.9"," 8.1"," 6.9","","","","9","CHINA","","CHINA:  SICHUAN PROVINCE","  31.002","  103.322","30","   87652","4","","","    374171","4","   86000.000","4","5360000","4","5360000","4","   87652","4","","","374171","4","   86000.000","4","5360000","4","21000000","4"
"7879","","2008","5","24","19","20"," 42.4","9"," 5.6"," 5.6","","","","","","","COLOMBIA","","COLOMBIA:  META, QUETAME","   4.330","  -73.764","160","       6","1","","","","","","1","","","","2","       6","1","","","","","","1","","","","2"
